,Ident,Etat,EtatExp,DMajEtatExp,Debit,Taux,DebitLisse,TauxLisse,VitesseBRP
0,17,2,0,2017-11-23T16:41:14,0,-1,0,-1,0.0
1,18,1,0,2017-11-23T16:41:14,13,5,304,5,17.402945
2,21,1,0,2017-11-23T16:41:14,16,5,334,6,19.900497
3,19,2,0,2017-11-23T16:41:14,0,-1,0,-1,0.0
4,20,1,0,2017-11-23T16:41:14,21,2,490,2,25.874815
5,16,1,0,2017-11-23T16:41:14,0,-1,0,-1,0.0
6,15,1,0,2017-11-23T16:41:14,28,9,694,8,46.697796
7,14,1,0,2017-11-23T16:41:14,45,16,750,15,19.10017
8,13,3,0,2017-11-23T16:41:14,0,-1,0,-1,0.0
9,12,1,0,2017-11-23T16:41:14,37,14,744,13,18.169317
10,11,1,0,2017-11-23T16:41:14,0,-1,0,-1,0.0
11,10,1,0,2017-11-23T16:41:14,0,-1,0,-1,0.0
12,9,2,0,2017-11-23T16:41:14,43,27,794,22,12.92145
13,7,1,0,2017-11-23T16:41:14,0,-1,0,-1,0.0
14,8,1,0,2017-11-23T16:41:14,39,13,724,30,19.710907
15,6,3,0,2017-11-23T16:41:14,0,-1,0,-1,0.0
16,5,1,0,2017-11-23T16:41:14,45,11,752,7,23.671751
17,3,2,0,2017-11-23T16:41:14,17,31,448,34,5.0980625
18,4,1,0,2017-11-23T16:41:14,26,0,482,0,50.0
19,2,2,0,2017-11-23T16:41:14,0,-1,0,-1,0.0
20,1,2,0,2017-11-23T16:41:14,0,-1,0,-1,0.0
21,38,0,0,2017-11-23T16:41:14,0,0,0,0,0.0
22,37,1,0,2017-11-23T16:41:14,0,-1,0,-1,0.0
23,39,1,0,2017-11-23T16:41:14,15,5,222,3,19.10828
24,40,1,0,2017-11-23T16:41:14,16,8,292,7,14.619883
25,22,1,0,2017-11-23T16:41:14,43,13,812,12,20.994043
26,23,2,0,2017-11-23T16:41:14,0,-1,0,-1,0.0
27,24,2,0,2017-11-23T16:41:14,0,-1,0,-1,0.0
28,25,1,0,2017-11-23T16:41:14,15,1,484,2,30.181086
29,100,0,0,2017-11-23T16:41:14,0,0,0,0,0.0
30,101,1,0,2017-11-23T16:41:14,13,10,168,5,10.058027
31,1126,1,0,2017-11-23T16:41:14,3,0,78,0,40.0
32,104,1,0,2017-11-23T16:41:14,10,4,362,8,15.625
33,106,1,0,2017-11-23T16:41:14,3,1,58,1,18.820578
34,107,1,0,2017-11-23T16:41:14,0,0,10,0,50.0
35,108,1,0,2017-11-23T16:41:14,17,9,268,5,13.082961
36,109,1,0,2017-11-23T16:41:14,19,18,266,16,38.649307
37,203,1,0,2017-11-23T16:41:14,1,31,36,31,0.321151
38,313,1,0,2017-11-23T16:41:14,14,5,440,6,10.506567
39,307,1,0,2017-11-23T16:41:14,9,0,244,0,40.0
40,201,1,0,2017-11-23T16:41:14,31,23,500,28,5.9652667
41,510,1,0,2017-11-23T16:41:14,16,18,218,8,4.0733194
42,204,3,0,2017-11-23T16:41:14,0,-1,0,-1,0.0
43,205,0,0,2017-11-23T16:41:14,0,0,0,0,0.0
44,206,1,0,2017-11-23T16:41:14,12,2,160,1,27.573528
45,207,1,0,2017-11-23T16:41:14,32,7,612,11,48.10583
46,208,1,0,2017-11-23T16:41:14,30,19,494,9,44.378696
47,210,1,0,2017-11-23T16:41:14,30,2,732,5,23.291925
48,211,1,0,2017-11-23T16:41:14,17,1,258,0,31.680954
49,212,1,0,2017-11-23T16:41:14,15,1,242,0,30.181086
50,230,1,0,2017-11-23T16:41:14,15,7,232,11,42.979942
51,231,1,0,2017-11-23T16:41:14,61,8,1152,10,16.039968
52,232,1,0,2017-11-23T16:41:14,51,7,1140,17,21.715065
53,301,1,0,2017-11-23T16:41:14,41,10,754,8,48.926014
